scenario,mois,date_calendrier,annee,mrr_total,arr,cogs_variables,marge_brute_eur,marge_brute_pct,couts_infra_outils,couts_rh_equipe,couts_fixes_hors_fondateur,salaire_fondateur_net,cout_fondateur_employeur,dividendes_fondateur_net,cout_total_mensuel,resultat_net,marge_nette_pct_mrr,taux_couverture_fixes,equipes,independants,point_mort
Leader Dual-Track (FR + EN/WT),1,déc. 2027,Y1,477.0,5725.0,77.0,400.0,83.8,2200.0,0.0,2200.0,0,0,0.0,2200.0,-1800.0,-377.4,18.2,4.0,22.0,
Leader Dual-Track (FR + EN/WT),2,jan. 2028,Y1,950.0,11404.0,154.0,797.0,83.8,2200.0,0.0,2200.0,0,0,0.0,2200.0,-1403.0,-147.7,36.2,8.0,44.0,
Leader Dual-Track (FR + EN/WT),3,fév. 2028,Y1,1420.0,17037.0,230.0,1190.0,83.8,2200.0,250.0,2450.0,0,0,0.0,2450.0,-1260.0,-88.7,48.6,11.9,65.0,
Leader Dual-Track (FR + EN/WT),4,mars 2028,Y1,1897.0,22764.0,306.0,1591.0,83.8,2200.0,250.0,2450.0,0,0,0.0,2450.0,-859.0,-45.3,64.9,15.9,87.0,
Leader Dual-Track (FR + EN/WT),5,avr. 2028,Y1,2381.0,28570.0,384.0,1997.0,83.9,2200.0,250.0,2450.0,0,0,0.0,2450.0,-453.0,-19.0,81.5,20.0,109.0,
Leader Dual-Track (FR + EN/WT),6,mai 2028,Y1,2871.0,34453.0,462.0,2409.0,83.9,2200.0,1550.0,3750.0,0,0,0.0,3750.0,-1341.0,-46.7,64.2,24.1,131.0,
Leader Dual-Track (FR + EN/WT),7,juin 2028,Y1,3903.0,46839.0,627.0,3276.0,83.9,2200.0,1550.0,3750.0,0,0,0.0,3750.0,-474.0,-12.1,87.4,31.4,190.0,
Leader Dual-Track (FR + EN/WT),8,juil. 2028,Y1,4948.0,59377.0,794.0,4154.0,84.0,2200.0,1550.0,3750.0,217.0,405.0,0.0,4154.0,0.0,0.0,110.8,38.8,249.0,OUI
Leader Dual-Track (FR + EN/WT),9,août 2028,Y1,6005.0,72064.0,962.0,5044.0,84.0,2200.0,1550.0,3750.0,693.0,1294.0,0.0,5044.0,0.0,0.0,134.5,46.2,309.0,OUI
Leader Dual-Track (FR + EN/WT),10,sept. 2028,Y1,7075.0,84902.0,1131.0,5944.0,84.0,2200.0,1550.0,3750.0,1175.0,2193.0,0.0,5944.0,0.0,0.0,158.5,53.7,369.0,OUI
Leader Dual-Track (FR + EN/WT),11,oct. 2028,Y1,8157.0,97888.0,1302.0,6855.0,84.0,2200.0,1550.0,3750.0,1663.0,3104.0,0.0,6855.0,0.0,0.0,182.8,61.3,430.0,OUI
Leader Dual-Track (FR + EN/WT),12,nov. 2028,Y1,9252.0,111023.0,1475.0,7777.0,84.1,2200.0,1550.0,3750.0,2000,3733.0,0.0,7483.0,293.0,3.2,207.4,69.0,492.0,OUI
Leader Dual-Track (FR + EN/WT),13,déc. 2028,Y2,10423.0,125070.0,1659.0,8764.0,84.1,4800.0,1550.0,6350.0,1293.0,2414.0,0.0,8764.0,0.0,0.0,138.0,76.7,554.0,OUI
Leader Dual-Track (FR + EN/WT),14,jan. 2029,Y2,11619.0,139423.0,1846.0,9772.0,84.1,4800.0,1550.0,6350.0,1833.0,3422.0,0.0,9772.0,0.0,0.0,153.9,84.5,617.0,OUI
Leader Dual-Track (FR + EN/WT),15,fév. 2029,Y2,12840.0,154085.0,2037.0,10803.0,84.1,4800.0,1550.0,6350.0,2386.0,4454.0,0.0,10803.0,0.0,0.0,170.1,92.4,680.0,OUI
Leader Dual-Track (FR + EN/WT),16,mars 2029,Y2,14088.0,169057.0,2231.0,11857.0,84.2,4800.0,1550.0,6350.0,2500,4667.0,0.0,11017.0,840.0,6.0,186.7,100.4,744.0,OUI
Leader Dual-Track (FR + EN/WT),17,avr. 2029,Y2,15362.0,184343.0,2429.0,12933.0,84.2,4800.0,1550.0,6350.0,2500,4667.0,0.0,11017.0,1916.0,12.5,203.7,108.4,808.0,OUI
Leader Dual-Track (FR + EN/WT),18,mai 2029,Y2,16662.0,199946.0,2630.0,14032.0,84.2,4800.0,1550.0,6350.0,2500,4667.0,0.0,11017.0,3015.0,18.1,221.0,116.4,873.0,OUI
Leader Dual-Track (FR + EN/WT),19,juin 2029,Y2,18668.0,224011.0,2938.0,15730.0,84.3,4816.0,1550.0,6366.0,2500,4667.0,0.0,11033.0,4697.0,25.2,247.1,128.5,977.0,OUI
Leader Dual-Track (FR + EN/WT),20,juil. 2029,Y2,20742.0,248905.0,3255.0,17487.0,84.3,4832.0,1550.0,6382.0,2500,4667.0,0.0,11049.0,6439.0,31.0,274.0,140.7,1083.0,OUI
Leader Dual-Track (FR + EN/WT),21,août 2029,Y2,22887.0,274644.0,3581.0,19306.0,84.4,4848.0,1550.0,6398.0,2500,4667.0,0.0,11065.0,8242.0,36.0,301.8,153.2,1191.0,OUI
Leader Dual-Track (FR + EN/WT),22,sept. 2029,Y2,25103.0,301242.0,3916.0,21188.0,84.4,4864.0,1550.0,6414.0,2500,4667.0,0.0,11081.0,10107.0,40.3,330.3,165.9,1301.0,OUI
Leader Dual-Track (FR + EN/WT),23,oct. 2029,Y2,27393.0,328715.0,4260.0,23133.0,84.4,4880.0,1550.0,6430.0,2500,4667.0,0.0,11097.0,12037.0,43.9,359.8,178.8,1413.0,OUI
Leader Dual-Track (FR + EN/WT),24,nov. 2029,Y2,29757.0,357078.0,4613.0,25143.0,84.5,4896.0,6050.0,10946.0,2500,4667.0,5637.0,15763.0,9381.0,31.5,229.7,191.9,1527.0,OUI
Leader Dual-Track (FR + EN/WT),25,déc. 2029,Y3,32277.0,387319.0,4986.0,27290.0,84.6,8698.0,6050.0,14748.0,5000,9333.0,0.0,24232.0,3059.0,9.5,185.0,205.2,1642.0,OUI
Leader Dual-Track (FR + EN/WT),26,jan. 2030,Y3,34886.0,418637.0,5371.0,29516.0,84.6,8727.0,6050.0,14777.0,5000,9333.0,0.0,24260.0,5256.0,15.1,199.7,218.7,1760.0,OUI
Leader Dual-Track (FR + EN/WT),27,fév. 2030,Y3,37588.0,451057.0,5766.0,31822.0,84.7,8755.0,6050.0,14805.0,5000,9333.0,1975.0,24288.0,7534.0,20.0,214.9,232.5,1879.0,OUI
Leader Dual-Track (FR + EN/WT),28,mars 2030,Y3,40305.0,483658.0,6168.0,34137.0,84.7,8783.0,6050.0,14833.0,5000,9333.0,0.0,24317.0,9820.0,24.4,230.1,246.2,1998.0,OUI
Leader Dual-Track (FR + EN/WT),29,avr. 2030,Y3,43079.0,516944.0,6576.0,36503.0,84.7,8812.0,6050.0,14862.0,5000,9333.0,0.0,24345.0,12158.0,28.2,245.6,260.1,2117.0,OUI
Leader Dual-Track (FR + EN/WT),30,mai 2030,Y3,45911.0,550931.0,6991.0,38920.0,84.8,8840.0,10850.0,19690.0,5000,9333.0,2209.0,29173.0,9747.0,21.2,197.7,274.0,2236.0,OUI
Leader Dual-Track (FR + EN/WT),31,juin 2030,Y3,48803.0,585632.0,7412.0,41390.0,84.8,8868.0,10850.0,19718.0,5000,9333.0,0.0,29202.0,12189.0,25.0,209.9,287.9,2354.0,OUI
Leader Dual-Track (FR + EN/WT),32,juil. 2030,Y3,51755.0,621064.0,7840.0,43915.0,84.9,8897.0,10850.0,19747.0,5000,9333.0,0.0,29230.0,14685.0,28.4,222.4,301.9,2473.0,OUI
Leader Dual-Track (FR + EN/WT),33,août 2030,Y3,54770.0,657242.0,8275.0,46495.0,84.9,8925.0,10850.0,19775.0,5000,9333.0,3562.0,29258.0,17236.0,31.5,235.1,316.0,2591.0,OUI
Leader Dual-Track (FR + EN/WT),34,sept. 2030,Y3,57848.0,694180.0,8717.0,49131.0,84.9,8953.0,10850.0,19803.0,5000,9333.0,0.0,29287.0,19844.0,34.3,248.1,330.1,2709.0,OUI
Leader Dual-Track (FR + EN/WT),35,oct. 2030,Y3,60991.0,731893.0,9166.0,51825.0,85.0,8982.0,10850.0,19832.0,5000,9333.0,0.0,29315.0,22510.0,36.9,261.3,344.2,2827.0,OUI
