scenario,mois,date_calendrier,annee,equipes,independants,organisateurs,organisateurs_solo,organisateurs_pro,clubs_tri,coachs_tri,athletes_tri,coachs_running,clubs_running,clients_multisport,clients_total_endurance,mrr_multisport,part_mrr_multisport_pct,arpu_equipe,mrr_equipes,mrr_independants,mrr_abonnements,mrr_marketplace,gmv_marketplace_mois,missions_vacataires_mois,commission_missions_pct,part_mrr_international_pct,mrr_enterprise,mrr_total,arr,marge_brute_pct,marge_brute_eur,cogs_variables,couts_infra_outils,couts_rh_equipe,effectif_etp,salaire_fondateur_net,dividendes_fondateur_net,remuneration_totale_net,remuneration_lissee_annuelle,mode_remuneration,cout_total_mensuel,resultat_net,tresorerie,multiple_valorisation,valorisation_eur,vs_ippogee,objectif_15k,objectif_100M
Leader Dual-Track (FR + EN/WT),1,déc. 2027,Y1,4.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,74.0,297.0,180.0,477.0,0.0,0.0,0.0,0.0,0.0,0,477.0,5725.0,83.8,400.0,77.0,2200.0,0.0,1,0,0.0,0.0,0.0,optimal,2200.0,-1800.0,118200.0,6.4,36641.0,En cours,,
Leader Dual-Track (FR + EN/WT),2,jan. 2028,Y1,8.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,74.0,592.0,359.0,950.0,0.0,0.0,0.0,0.0,0.0,0,950.0,11404.0,83.8,797.0,154.0,2200.0,0.0,1,0,0.0,0.0,0.0,optimal,2200.0,-1403.0,116797.0,6.4,72986.0,En cours,,
Leader Dual-Track (FR + EN/WT),3,fév. 2028,Y1,11.9,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,74.0,885.0,534.0,1420.0,0.0,0.0,0.0,0.0,0.0,0,1420.0,17037.0,83.8,1190.0,230.0,2200.0,250.0,2,0,0.0,0.0,0.0,optimal,2450.0,-1260.0,115537.0,7.0,119260.0,En cours,,
Leader Dual-Track (FR + EN/WT),4,mars 2028,Y1,15.9,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,74.0,1184.0,713.0,1897.0,0.0,0.0,0.0,0.0,1.2,0,1897.0,22764.0,83.8,1591.0,306.0,2200.0,250.0,2,0,0.0,0.0,0.0,optimal,2450.0,-859.0,114677.0,7.0,159350.0,En cours,,
Leader Dual-Track (FR + EN/WT),5,avr. 2028,Y1,20.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,74.0,1488.0,893.0,2381.0,0.0,0.0,0.0,0.0,2.3,0,2381.0,28570.0,83.9,1997.0,384.0,2200.0,250.0,2,0,0.0,0.0,0.0,optimal,2450.0,-453.0,114224.0,7.0,199987.0,En cours,,
Leader Dual-Track (FR + EN/WT),6,mai 2028,Y1,24.1,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,75.0,1796.0,1075.0,2871.0,0.0,0.0,0.0,0.0,3.5,0,2871.0,34453.0,83.9,2409.0,462.0,2200.0,1550.0,4,0,0.0,0.0,0.0,optimal,3750.0,-1341.0,112883.0,7.0,241171.0,En cours,,
Leader Dual-Track (FR + EN/WT),7,juin 2028,Y1,31.4,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,0.0,0.0,75.0,2347.0,1556.0,3903.0,0.0,0.0,0.0,0.0,4.7,0,3903.0,46839.0,83.9,3276.0,627.0,2200.0,1550.0,4,0,0.0,0.0,0.0,optimal,3750.0,-474.0,112409.0,7.0,327876.0,En cours,,
Leader Dual-Track (FR + EN/WT),8,juil. 2028,Y1,38.8,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,0.0,0.0,75.0,2906.0,2042.0,4948.0,0.0,0.0,0.0,0.0,5.8,0,4948.0,59377.0,84.0,4154.0,794.0,2200.0,1550.0,4,217.0,0.0,217.0,325.0,optimal,4154.0,0.0,112409.0,7.0,415637.0,En cours,,
Leader Dual-Track (FR + EN/WT),9,août 2028,Y1,46.2,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.0,0.0,0.0,75.0,3472.0,2533.0,6005.0,0.0,0.0,0.0,0.0,7.0,0,6005.0,72064.0,84.0,5044.0,962.0,2200.0,1550.0,4,693.0,0.0,693.0,1213.0,optimal,5044.0,0.0,112409.0,7.0,504451.0,En cours,,
Leader Dual-Track (FR + EN/WT),10,sept. 2028,Y1,53.7,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423.0,0.0,0.0,75.0,4046.0,3029.0,7075.0,0.0,0.0,0.0,0.0,8.2,0,7075.0,84902.0,84.0,5944.0,1131.0,2200.0,1550.0,4,1175.0,0.0,1175.0,2502.0,optimal,5944.0,0.0,112409.0,7.0,594313.0,En cours,,
