scenario,mois,date_calendrier,annee,equipes,independants,organisateurs,organisateurs_solo,organisateurs_pro,clubs_tri,coachs_tri,athletes_tri,coachs_running,clubs_running,clients_multisport,clients_total_endurance,mrr_multisport,part_mrr_multisport_pct,arpu_equipe,mrr_equipes,mrr_independants,mrr_abonnements,mrr_marketplace,gmv_marketplace_mois,missions_vacataires_mois,commission_missions_pct,part_mrr_international_pct,mrr_enterprise,mrr_total,arr,marge_brute_pct,marge_brute_eur,cogs_variables,couts_infra_outils,couts_rh_equipe,effectif_etp,salaire_fondateur_net,dividendes_fondateur_net,remuneration_totale_net,remuneration_lissee_annuelle,mode_remuneration,cout_total_mensuel,resultat_net,tresorerie,multiple_valorisation,valorisation_eur,vs_ippogee,objectif_15k,objectif_100M
Leader Europe (objectif 100M€),1,déc. 2027,Y1,6.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,74.0,445.0,205.0,650.0,0.0,0.0,0.0,0.0,0.0,0,650.0,7801.0,83.8,545.0,105.0,2000.0,0.0,1,0,0.0,0.0,0.0,salaire,2000.0,-1455.0,148545.0,6.4,49924.0,En cours,,
Leader Europe (objectif 100M€),2,jan. 2028,Y1,12.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,74.0,887.0,407.0,1294.0,0.0,0.0,0.0,0.0,0.0,0,1294.0,15529.0,83.8,1084.0,210.0,2000.0,0.0,1,0,0.0,0.0,0.0,salaire,2000.0,-916.0,147629.0,6.4,99383.0,En cours,,
Leader Europe (objectif 100M€),3,fév. 2028,Y1,17.9,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,74.0,1327.0,605.0,1932.0,0.0,0.0,0.0,0.0,0.0,0,1932.0,23185.0,83.8,1619.0,313.0,2000.0,250.0,2,0,0.0,0.0,0.0,salaire,2250.0,-631.0,146997.0,7.0,162295.0,En cours,,
Leader Europe (objectif 100M€),4,mars 2028,Y1,23.8,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,74.0,1764.0,800.0,2564.0,0.0,0.0,0.0,0.0,0.0,0,2564.0,30771.0,83.8,2148.0,416.0,2000.0,250.0,2,0,0.0,0.0,0.0,salaire,2250.0,-102.0,146896.0,7.0,215394.0,En cours,,
Leader Europe (objectif 100M€),5,avr. 2028,Y1,29.6,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,0.0,74.0,2199.0,992.0,3191.0,0.0,0.0,0.0,0.0,0.0,0,3191.0,38286.0,83.8,2673.0,518.0,2000.0,250.0,2,0,0.0,0.0,0.0,salaire,2250.0,423.0,147318.0,7.0,268002.0,En cours,,
Leader Europe (objectif 100M€),6,mai 2028,Y1,35.5,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,0.0,0.0,74.0,2630.0,1181.0,3811.0,0.0,0.0,0.0,0.0,0.0,0,3811.0,45732.0,83.8,3193.0,618.0,2000.0,1550.0,4,0,0.0,0.0,0.0,salaire,3550.0,-357.0,146961.0,7.0,320126.0,En cours,,
Leader Europe (objectif 100M€),7,juin 2028,Y1,45.2,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,0.0,0.0,74.0,3356.0,1653.0,5010.0,0.0,0.0,0.0,0.0,0.0,0,5010.0,60115.0,83.8,4198.0,812.0,2000.0,1550.0,4,0,0.0,0.0,0.0,salaire,3550.0,648.0,147609.0,7.0,420802.0,En cours,,
Leader Europe (objectif 100M€),8,juil. 2028,Y1,55.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0,0.0,0.0,74.0,4078.0,2118.0,6196.0,0.0,0.0,0.0,0.0,0.0,0,6196.0,74351.0,83.8,5192.0,1004.0,2000.0,1550.0,4,0,0.0,0.0,0.0,salaire,3550.0,1642.0,149251.0,7.0,520460.0,En cours,,
Leader Europe (objectif 100M€),9,août 2028,Y1,64.6,314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.0,0.0,0.0,74.0,4795.0,2575.0,7370.0,0.0,0.0,0.0,0.0,0.0,0,7370.0,88444.0,83.8,6177.0,1194.0,2000.0,1550.0,4,0,0.0,0.0,0.0,salaire,3550.0,2627.0,151878.0,7.0,619111.0,En cours,,
Leader Europe (objectif 100M€),10,sept. 2028,Y1,74.3,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.0,0.0,0.0,74.0,5508.0,3025.0,8533.0,0.0,0.0,0.0,0.0,0.0,0,8533.0,102396.0,83.8,7152.0,1381.0,2000.0,1550.0,4,0,0.0,0.0,0.0,salaire,3550.0,3602.0,155479.0,9.0,921561.0,En cours,,
Leader Europe (objectif 100M€),11,oct. 2028,Y1,83.8,423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507.0,0.0,0.0,74.0,6216.0,3468.0,9684.0,0.0,0.0,0.0,0.0,0.0,0,9684.0,116207.0,83.8,8116.0,1568.0,2000.0,1550.0,4,0,0.0,0.0,0.0,salaire,3550.0,4566.0,160045.0,9.0,1045861.0,En cours,,
Leader Europe (objectif 100M€),12,nov. 2028,Y1,93.3,476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569.0,0.0,0.0,74.0,6921.0,3903.0,10823.0,0.0,0.0,0.0,0.0,0.0,0,10823.0,129879.0,83.8,9072.0,1752.0,2000.0,1550.0,4,0,0.0,0.0,0.0,salaire,3550.0,5522.0,165567.0,9.0,1168915.0,En cours,,
Leader Europe (objectif 100M€),13,déc. 2028,Y2,102.7,528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.0,0.0,0.0,75.0,7704.0,4331.0,12035.0,0.0,0.0,0.0,0.0,0.0,0,12035.0,144417.0,83.8,10088.0,1947.0,4000.0,1550.0,4,2431.0,0.0,2431.0,2244.0,salaire,10088.0,0.0,165567.0,9.0,1299755.0,En cours,,
Leader Europe (objectif 100M€),14,jan. 2029,Y2,112.1,579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692.0,0.0,0.0,76.0,8499.0,4752.0,13250.0,0.0,0.0,0.0,0.0,0.0,0,13250.0,159003.0,83.8,11108.0,2142.0,4000.0,1550.0,4,2977.0,0.0,2977.0,4636.0,salaire,11108.0,0.0,165567.0,9.0,1431027.0,En cours,,
Leader Europe (objectif 100M€),15,fév. 2029,Y2,121.4,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,751.0,0.0,0.0,77.0,9304.0,5166.0,14470.0,0.0,0.0,0.0,0.0,0.0,0,14470.0,173637.0,83.8,12131.0,2338.0,4000.0,1550.0,4,3000,0.0,3000.0,6727.0,salaire,11150.0,981.0,166548.0,9.0,1562732.0,En cours,,
Leader Europe (objectif 100M€),16,mars 2029,Y2,130.7,680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810.0,0.0,0.0,77.0,10120.0,5573.0,15693.0,0.0,0.0,0.0,0.0,0.0,0,15693.0,188319.0,83.8,13158.0,2535.0,4000.0,1550.0,4,3000,0.0,3000.0,8556.0,salaire,11150.0,2008.0,168557.0,9.0,1694869.0,En cours,,
Leader Europe (objectif 100M€),17,avr. 2029,Y2,139.9,728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,868.0,0.0,0.0,78.0,10947.0,5974.0,16921.0,0.0,0.0,0.0,0.0,0.0,0,16921.0,203049.0,83.9,14189.0,2732.0,4000.0,1550.0,4,3000,0.0,3000.0,10171.0,salaire,11150.0,3039.0,171596.0,9.0,1827438.0,En cours,,
