scenario,mois,date_calendrier,annee,equipes,independants,organisateurs,organisateurs_solo,organisateurs_pro,clubs_tri,coachs_tri,athletes_tri,coachs_running,clubs_running,clients_multisport,clients_total_endurance,mrr_multisport,part_mrr_multisport_pct,arpu_equipe,mrr_equipes,mrr_independants,mrr_abonnements,mrr_marketplace,gmv_marketplace_mois,missions_vacataires_mois,commission_missions_pct,part_mrr_international_pct,mrr_enterprise,mrr_total,arr,marge_brute_pct,marge_brute_eur,cogs_variables,couts_infra_outils,couts_rh_equipe,effectif_etp,salaire_fondateur_net,dividendes_fondateur_net,remuneration_totale_net,remuneration_lissee_annuelle,mode_remuneration,cout_total_mensuel,resultat_net,tresorerie,multiple_valorisation,valorisation_eur,vs_ippogee,objectif_15k,objectif_100M
Accéléré (objectif 15K),1,déc. 2027,Y1,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,74.0,371.0,123.0,494.0,0.0,0.0,0.0,0.0,0.0,0,494.0,5926.0,83.7,413.0,80.0,1500.0,0.0,1,0,0.0,0.0,0.0,salaire,1500.0,-1087.0,38913.0,5.9,34966.0,En cours,,
Accéléré (objectif 15K),2,jan. 2028,Y1,10.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,74.0,739.0,243.0,982.0,0.0,0.0,0.0,0.0,0.0,0,982.0,11784.0,83.7,822.0,160.0,1500.0,0.0,1,0,0.0,0.0,0.0,salaire,1500.0,-678.0,38236.0,5.9,69525.0,En cours,,
Accéléré (objectif 15K),3,fév. 2028,Y1,14.9,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,74.0,1103.0,361.0,1464.0,0.0,0.0,0.0,0.0,0.0,0,1464.0,17573.0,83.7,1226.0,238.0,1500.0,250.0,2,0,0.0,0.0,0.0,salaire,1750.0,-524.0,37712.0,5.9,103681.0,En cours,,
Accéléré (objectif 15K),4,mars 2028,Y1,19.7,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,74.0,1464.0,477.0,1941.0,0.0,0.0,0.0,0.0,0.0,0,1941.0,23295.0,83.7,1625.0,316.0,1500.0,250.0,2,0,0.0,0.0,0.0,salaire,1750.0,-125.0,37587.0,6.5,151417.0,En cours,,
Accéléré (objectif 15K),5,avr. 2028,Y1,24.6,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,74.0,1822.0,590.0,2413.0,0.0,0.0,0.0,0.0,0.0,0,2413.0,28951.0,83.7,2020.0,393.0,1500.0,250.0,2,0,0.0,0.0,0.0,salaire,1750.0,270.0,37857.0,6.5,188178.0,En cours,,
Accéléré (objectif 15K),6,mai 2028,Y1,29.4,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,74.0,2177.0,701.0,2878.0,0.0,0.0,0.0,0.0,0.0,0,2878.0,34541.0,83.7,2410.0,469.0,1500.0,1550.0,4,0,0.0,0.0,0.0,salaire,3050.0,-640.0,37216.0,6.5,224515.0,En cours,,
Accéléré (objectif 15K),7,juin 2028,Y1,37.1,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,74.0,2752.0,1015.0,3766.0,0.0,0.0,0.0,0.0,0.0,0,3766.0,45197.0,83.7,3154.0,612.0,1500.0,1550.0,4,0,0.0,0.0,0.0,salaire,3050.0,104.0,37320.0,6.5,293778.0,En cours,,
Accéléré (objectif 15K),8,juil. 2028,Y1,44.8,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,0.0,0.0,74.0,3321.0,1322.0,4643.0,0.0,0.0,0.0,0.0,0.0,0,4643.0,55715.0,83.8,3889.0,754.0,1500.0,1550.0,4,0,0.0,0.0,0.0,salaire,3050.0,839.0,38159.0,6.5,362149.0,En cours,,
Accéléré (objectif 15K),9,août 2028,Y1,52.4,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,74.0,3885.0,1623.0,5508.0,0.0,0.0,0.0,0.0,0.0,0,5508.0,66099.0,83.8,4614.0,894.0,1500.0,1550.0,4,0,0.0,0.0,0.0,salaire,3050.0,1564.0,39723.0,6.5,429641.0,En cours,,
Accéléré (objectif 15K),10,sept. 2028,Y1,59.9,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,74.0,4445.0,1918.0,6362.0,0.0,0.0,0.0,0.0,0.0,0,6362.0,76349.0,83.8,5330.0,1033.0,1500.0,1550.0,4,0,0.0,0.0,0.0,salaire,3050.0,2280.0,42002.0,6.5,496267.0,En cours,,
