annee,date_fin,salaire_net_annuel,dividendes_net_annuel,total_net_fondateur,equivalent_mensuel,arr_societe
Y1,nov. 2028,5748.0,0.0,5748.0,479.0,111023.0
Y2,nov. 2029,28012.0,5653.0,33665.0,2805.0,359037.0
Y3,nov. 2030,60000.0,14645.0,74645.0,6220.0,819245.0
Y4,nov. 2031,60000.0,43187.0,103187.0,8599.0,1786166.0
Y5,nov. 2032,60000.0,157314.0,217314.0,18110.0,2959038.0
Y6,nov. 2033,60000.0,226464.0,286464.0,23872.0,3886762.0
Y7,nov. 2034,60000.0,286333.0,346333.0,28861.0,4471078.0
Y8,nov. 2035,60000.0,346913.0,406913.0,33909.0,5156286.0
Y9,nov. 2036,60000.0,399833.0,459833.0,38319.0,5812801.0
Y10,nov. 2037,60000.0,462436.0,522436.0,43536.0,6444305.0
